From	To
P31809	Ceacam1
Q925P2	Ceacam2
P23927	Cryab
Q91XA2	Golm1
P59999	Arpc4
Q9QX15	Clca3a1
P26043	Rdx
Q99JW2	Acy1
Q05909	Ptprg
Q8BRK9	Man2a2
Q923X1	Adgrl4
P16858	Gapdh
Q91XA9	Chia
Q07456	Ambp
P01642	Igkv5-48
B2RXS4	Plxnb2
Q9JII6	Akr1a1
P97457	Myl11
Q5BKQ4	Pnliprp1
P11627	L1cam
Q8C196	Cps1
P00687	Amy1
O09114	Ptgds
P47857	Pfkm
P35917	Flt4
Q8CIZ8	Vwf
Q5FW60	Mup20
Q3UZ09	C1rl
P0DP26	Calm1
P0DP27	Calm2
P0DP28	Calm3
Q00898	Serpina1e
P11688	Itga5
P17047	Lamp2
Q8BHN3	Ganab
Q00560	Il6st
O55134	Pcdh12
Q63805	Orm3
P05366	Saa1
P21460	Cst3
P37889	Fbln2
P18653	Rps6ka1
P18654	Rps6ka3
Q9WUT3	Rps6ka2
Q9QUR6	Prep
Q11011	Npepps
Q3V2T4	Krtdap
P29533	Vcam1
Q9JJN5	Cpn1
P55850	Dsc3
Q9ET01	Pygl
P55284	Cdh5
Q9CQC9	Sar1b
Q9CPW4	Arpc5
Q05144	Rac2
P01872	Ighm
Q60963	Pla2g7
P05532	Kit
Q05816	Fabp5
Q09200	B4galnt1
P11680	Cfp
O88593	Pglyrp1
Q9CYR6	Pgm3
Q91WP6	Serpina3n
Q80X90	Flnb
Q62523	Zyx
P08228	Sod1
O54890	Itgb3
P15116	Cdh2
Q1ERP8	Cd300lg
Q62087	Pon3
O08538	Angpt1
P11438	Lamp1
P04117	Fabp4
Q64314	Cd34
P11352	Gpx1
P50405	Sftpb
Q9Z0L8	Ggh
P50516	Atp6v1a
O89103	Cd93
P61161	Actr2
P68372	Tubb4b
Q9CR35	Ctrb1
Q61129	Cfi
Q8BYY9	Serpina3b
P20060	Hexb
Q8R4G6	Mgat5
Q62469	Itga2
O55111	Dsg2
P61202	Cops2
P97372	Psme2
Q9JI02	Scgb2b20
Q9DC11	Plxdc2
Q9QUM0	Itga2b
Q9R0M4	Podxl
P20801	Tnnc2
P32848	Pvalb
P68134	Acta1
Q8CBR6	Tsku
Q99LE3	Lysmd3
P07743	Bpifa2
Q8CFG8	C1s2
O09043	Napsa
Q19LI2	A1bg
P15947	Klk1
Q60675	Lama2
A2A8L5	Ptprf
P97807	Fh
P01898	H2-Q10
Q91XF0	Pnpo
Q61176	Arg1
Q8CFX1	H6pd
Q91Y47	F11
P04186	Cfb
P43137	Reg1
Q9D8N0	Eef1g
Q61703	Itih2
P23953	Ces1c
P47739	Aldh3a1
P47878	Igfbp3
Q93092	Taldo1
Q9D154	Serpinb1a
P56399	Usp5
P50543	S100a11
Q8CIE0	Serpina11
P06797	Ctsl
Q9CXN7	Pbld2
Q9DCG6	Pbld1
P47879	Igfbp4
Q8CDN6	Txnl1
P13412	Tnni2
Q8VCM7	Fgg
Q8VCC9	Spon1
Q8BM88	Ctso
Q99PT1	Arhgdia
Q9JKX3	Tfr2
Q61147	Cp
Q80W65	Pcsk9
P17182	Eno1
Q9R0G6	Comp
P09581	Csf1r
Q64487	Ptprd
O89020	Afm
P97494	Gclc
P61979	Hnrnpk
P29268	Ccn2
Q925J9	Med1
Q64442	Sord
Q9Z0M9	Il18bp
P70663	Sparcl1
Q9CQW3	Proz
P97447	Fhl1
Q60696	Pmel
Q6P069	Sri
P16125	Ldhb
P19096	Fasn
P30115	Gsta3
P35505	Fah
P50404	Sftpd
P49722	Psma2
P06745	Gpi
P24472	Gsta4
P26443	Glud1
Q8C165	Pm20d1
P97464	Ext1
Q64739	Col11a2
Q61730	Il1rap
P08905	Lyz2
O35945	Aldh1a7
Q8BK48	Ces2e
Q61704	Itih3
Q8VCR7	Abhd14b
O70250	Pgam2
Q9CQF9	Pcyox1
Q64323	Piga
Q91WP0	Masp2
Q9DBA8	Amdhd1
P10649	Gstm1
P20029	Hspa5
Q9Z222	B3GNT2
Q9QYG0	Ndrg2
Q9CVB6	Arpc2
Q9D1A2	Cndp2
P99029	Prdx5
P17742	Ppia
P30412	Ppic
P27005	S100a8
P60710	Actb
P63260	Actg1
Q61316	Hspa4
O70570	Pigr
Q8VHX6	Flnc
Q3UV17	Krt76
P19157	Gstp1
P46425	Gstp2
Q91V64	Isoc1
P10810	Cd14
P52430	Pon1
Q91ZJ5	Ugp2
P01867	Ighg2b
P70389	Igfals
P21765	Gpx5
P32261	Serpinc1
P31428	Dpep1
O35405	Pld3
O09107	Insl3
P28798	Grn
P05977	Myl1
P48759	Ptx3
P01632	Igkv7-33
Q8K0C5	Zg16
P15379	Cd44
Q61233	Lcp1
Q80ZA4	Pkhd1l1
Q922B2	Dars1
Q9Z0M6	Adgre5
Q8BHC0	Lyve1
P10493	Nid1
Q8CG16	C1ra
P21550	Eno3
Q64695	Procr
Q6GU68	Islr
P14430	H2-Q8
P68510	Ywhah
Q769J6	Adamts13
Q8R1U2	Cgref1
P09470	Ace
P13707	Gpd1
Q8K0E8	Fgb
P31786	Dbi
Q61468	Msln
Q8VCC2	Ces1
Q9R098	Hgfac
Q70E20	Sned1
O88783	F5
Q60692	Psmb6
O70138	Mmp8
P26041	Msn
Q9R0Y5	Ak1
Q8R422	Cd109
P59383	Lrrn4
P12388	Serpinb2
Q60605	Myl6
P23492	Pnp
Q99MQ4	Aspn
P0CG49	Ubb
P0CG50	Ubc
P62983	Rps27a
P62984	Uba52
Q3UH93	Plxnd1
P50247	Ahcy
E9Q7X6	Heg1
Q06194	F8
O08689	Mstn
P12804	Fgl2
P01749	Ighv1-61
P24270	Cat
O88569	Hnrnpa2b1
O88502	Pde8a
Q8BND5	Qsox1
Q9R0P5	Dstn
P07214	Sparc
Q91X83	Mat1a
P05201	Got1
Q9Z1R3	Apom
Q8K0D2	Habp2
P47880	Igfbp6
P14152	Mdh1
Q8BTM8	Flna
P47757	Capzb
P01639	Igkv9-120
P08101	Fcgr2
Q9WVJ9	Efemp2
P07310	Ckm
O88968	Tcn2
Q9D7Q1	Chit1
Q00623	Apoa1
Q921I1	Tf
Q9EPX2	Papln
Q02819	Nucb1
Q9R1P4	Psma1
Q6S5C2	Gnptg
O35664	Ifnar2
Q91V98	Cd248
Q5MJS3	Fam20c
Q9Z121	Ccl8
P06909	Cfh
Q9WUB3	Pygm
Q9QXC1	Fetub
Q9R1Q9	Atp6ap1
Q8K1B8	Fermt3
P10852	Slc3a2
Q9DCD0	Pgd
Q9JM76	Arpc3
Q71KU9	Fgl1
Q99P87	Retn
Q80YX1	Tnc
Q60854	Serpinb6
P16675	Ctsa
Q62165	Dag1
P09813	Apoa2
Q8BVI4	Qdpr
O35350	Capn1
Q7TSG5	Sh3d21
Q9ES30	C1qtnf3
P70428	Ext2
Q9DBP5	Cmpk1
P37804	Tagln
Q5SX39	Myh4
Q9ERR7	Selenof
O08677	Kng1
Q3U0B3	Dhrs11
P63101	Ywhaz
P17751	Tpi1
Q99LX0	Park7
Q07113	Igf2r
P58252	Eef2
Q9EQX0	Ghrl
P21614	Gc
P08113	Hsp90b1
P11859	Agt
Q91Y97	Aldob
Q09324	Gcnt1
P22599	Serpina1b
P70195	Psmb7
Q91ZX7	Lrp1
P28665	Mug1
Q62009	Postn
P97298	Serpinf1
P51885	Lum
P26618	Pdgfra
Q9JHJ8	Icoslg
Q2VLH6	Cd163
O08709	Prdx6
O88998	Olfm1
P02469	Lamb1
Q9Z2L6	Minpp1
Q99JY9	Actr3
O35490	Bhmt
A2ASS6	Ttn
Q9DBV4	Mxra8
P34884	Mif
P01845	Iglc3
P58771	Tpm1
Q9JHE3	Asah2
P01635	Igkv12-41
P61982	Ywhag
P60766	Cdc42
P09411	Pgk1
O88393	Tgfbr3
Q9Z0Z4	Heph
Q9D2R0	Aacs
P18181	Cd48
P50608	Fmod
Q9Z1Q5	Clic1
P19221	F2
Q61646	Hp
Q01853	Vcp
P26928	Mst1
O09051	Guca2b
Q9D0F9	Pgm1
Q8R2S8	Cd177
P16015	Ca3
P62259	Ywhae
Q9WVH9	Fbln5
Q01102	Selp
O70165	Fcn1
Q9JJH1	Rnase4
Q8CIT9	Sbsn
Q9R111	Gda
P47876	Igfbp1
O70370	Ctss
P03953	Cfd
Q91YI0	Asl
